id,player,club,position,age,value,nationality,avatar_url
0,M. Kudus,Nordsjælland,Striker,19,3000000,Ghana,images/profile_img/1.jpg
1,J. Stage,København,Left-Back,23,3000000,Denmark,images/profile_img/empty.jpg
2,F. Onyeka,Midtjylland,Defensive-Midfielder,22,3000000,Nigeria,images/profile_img/empty.jpg
3,M. Kofod Andersen,Nordsjælland,Left-Back,20,2000000,Denmark,images/profile_img/empty.jpg
4,J. Christensen,Nordsjælland,Defensive-Midfielder,18,2000000,Denmark,images/profile_img/empty.jpg
5,J. Wind,København,Striker,20,2000000,Denmark,images/profile_img/empty.jpg
6,M. Bundu,AGF,Right Wing,22,2000000,Sierra Leone,images/profile_img/empty.jpg
7,S. Kaba,Midtjylland,Striker,24,2000000,Guinea,images/profile_img/empty.jpg
8,R. Falk,København,Left-Back,28,2000000,Denmark,images/profile_img/empty.jpg
9,K. Bartolec,København,Right-Back,24,2000000,Croatia,images/profile_img/empty.jpg
10,H. Mukhtar,Nashville SC,Attacking-Midfielder,24,2000000,"Germany, Sudan",images/profile_img/empty.jpg
11,S. Tibbling,Brøndby,Left Wing,25,2000000,Sweden,images/profile_img/empty.jpg
12,E. Sviatchenko,Midtjylland,Centre-Back,28,2000000,"Denmark, Ukraine",images/profile_img/empty.jpg
13,A. Scholz,Midtjylland,Left Centre-Back,27,2000000,"Denmark, Germany",images/profile_img/empty.jpg
14,J. Andersson,Midtjylland,Right-Back,23,2000000,Sweden,images/profile_img/empty.jpg
15,A. Mabil,Midtjylland,Attacking-Midfielder,24,2000000,"Kenya, Australia",images/profile_img/empty.jpg
16,K. Hansen,Nordsjælland,Centre-Back,30,1000000,Denmark,images/profile_img/empty.jpg
17,M. Dal Hende,Midtjylland,Left-Back,29,1000000,Denmark,images/profile_img/empty.jpg
18,G. Donyoh,Dynamo Dresden,Striker,25,1000000,Ghana,images/profile_img/empty.jpg
19,I. Atanga,Nordsjælland,Right Wing,19,1000000,Ghana,images/profile_img/empty.jpg
20,N. Dyhr,Midtjylland,Left-Back,18,1000000,Denmark,images/profile_img/empty.jpg
21,A. Bjelland,København,Left Centre-Back,31,1000000,Denmark,images/profile_img/empty.jpg
22,V. Mannone,Esbjerg,Goalkeeper,31,1000000,Italy,images/profile_img/empty.jpg
23,S. Grytebust,København,Goalkeeper,30,1000000,Norway,images/profile_img/empty.jpg
24,S. Papagiannopoulos,København,Centre-Back,29,1000000,Greece,images/profile_img/empty.jpg
25,K. Johnsson,København,Goalkeeper,30,1000000,Sweden,images/profile_img/empty.jpg
26,Zeca,København,Left-Back,31,1000000,"Portugal, Greece",images/profile_img/empty.jpg
27,P. Sotiriou,København,Striker,27,1000000,Cyprus,images/profile_img/empty.jpg
28,Michael Santos,København,Striker,26,1000000,Uruguay,images/profile_img/empty.jpg
29,G. Varela,København,Right-Back,26,1000000,"Uruguay, Spain",images/profile_img/empty.jpg
30,R. Kurzawa,Esbjerg,Right Wing,27,1000000,Poland,images/profile_img/empty.jpg
31,Pep Biel,København,Right Wing,23,1000000,Spain,images/profile_img/empty.jpg
32,J. Lungi Sørensen,Esbjerg,Left-Back,21,1000000,Denmark,images/profile_img/empty.jpg
33,M. Kaufmann,København,Striker,19,1000000,Denmark,images/profile_img/empty.jpg
34,E. Marcondes,Brentford,Attacking-Midfielder,24,1000000,"Denmark, Brazil",images/profile_img/empty.jpg
35,S. Lobjanidze,Ankaragücü,Left Wing,25,1000000,Georgia,images/profile_img/empty.jpg
36,G. Wikheim,Al Fateh,Striker,26,1000000,Norway,images/profile_img/empty.jpg
37,J. Larsson,Brøndby,Right-Back,29,1000000,Sweden,images/profile_img/empty.jpg
38,R. Mudražija,København,Left-Back,22,1000000,Croatia,images/profile_img/empty.jpg
39,J. Radošević,Brøndby,Defensive-Midfielder,25,1000000,Croatia,images/profile_img/empty.jpg
40,K. Wilczek,Göztepe,Striker,32,1000000,Poland,images/profile_img/empty.jpg
41,C. Holse,Rosenborg,Right Wing,20,1000000,Denmark,images/profile_img/empty.jpg
